,Price,uuid,Headphone Type,Brand,Model,SensitivityAscending,Review Date,review,link,impedance
0,450.0,31b2f528-13c3-4015-a800-95d2c3190dd9,Over-Ear,HiFiMAN,HE-400i V2016,,12/18/20,hifiman planar magnetic headphone purchased back mainly test headphone amplifier latest version told different cost amazon including prime shipping quite light fit quite well head stock cord removable nice though stiff rather short come odd right angle headphone jack seems like assumed people would using portable application desktop use aggravation use inch adapter right angle cord get way control short cord also pulled headphone head one occasion zoomed picture cup informational value measurement see made using standardized gras searched measurement could find online ala number close mine none using exact fixture coupler pinna see confirmed approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker kilohertz keep mind read test calibrated headphone fixture dbspl test tone decided use headphone measurement however instead using khz tone opted seems better match research data also made lot progress building better test suite measurement update change coming starting feel good set hifiman measurementsthere nothing important frequency response headphone seemingly different difference leaf distinct character asr preference curve sold dashed blue red green channel matching pretty good good cheating lot energy important region khz common theme among many headphone seems usual bass energy lower target although bad others tested unusual kink noise graph transfer function headphone must changing complex way create indeed looking distortion curve show someone post one lowest distortion headphone sure hope given performance data shown absolute distortion level rather percentage picked tentative threshold level see bass distortion quite good peaking around khz case trouble reading frequency response chart want speaker like frequency response use graph equalization careful trough toward end try boost likely cancellation due reflection inside cup see group delay graph notice frequency response error repeated made quick fixture measure impedance note display highly zoomed otherwise would look like flat line planar magnetic driver known zoomed peak dependent headphone mounted head lower frequency fixture hifiman headphone listening testsas headphone rather open sound nowhere near spatial effect sennheiser sound compressed around grouping close ear tonality seems rather dull closed come tool wow difference made sound impressive fantastic dynamic clean bass detail improved substantially speaker killer track without could hardly hear deep note came live without overall tonality sound like much bass note lifting frequency bit like adding subwoofer boosting low speaker get deep bass performance simply exist bookshelf speaker track like artillery infected mushroom sound much live help want bob head band desk unison swing extreme kristin asbj rnsen wonderful track rain lord distortion saw graph could tell hear sure high sound bit shrill moderate level turning level accentuates could trying khz shelving filter may help conclusionsthis review prompted member suggesting hifiman present interesting spatial quality sennheiser ala case maybe hint frequency response show bass response good also le energy important khz region therefore mandatory restore proper balance resolution deep bass detail new headphone producing enjoyable experience test developed saw rarely used actually anxious listen get high sound equalization give pas without equalization happy give hifiman recommendation always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/hifiman-he400i-review-planar-headphone.18544/,47.0
1,1490.0,6c640678-9ecd-4fbc-a9bb-72a4ab9eb086,Over-Ear,Focal,Clear,,12/19/20,focal clear cost amazon including free shipping focal look stylistic modern sure like fit though stiff headband pressure lot pressure head said wearing hour started forget terrible whoever designed cord though look functionality super stiff least standard connector easy make buy aftermarket measurement see made using standardized gras searched measurement could find online ala number close mine none using exact fixture coupler pinna see confirmed approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker kilohertz keep mind read test calibrated headphone fixture dbspl test tone decided use headphone measurement however instead using khz tone opted seems better match research data also made lot progress building better test suite measurement update change coming starting feel good set focal clear measurementsthere nothing important frequency response headphone seemingly different difference leaf distinct character let cover good news first response khz follows preference curve unlike number tested far bass response also higher well miss overshoot lower range speaker testing usually hide detail music flat area indicated arrow clearly pun intended driver something strange group delay show similar problem deviation preferred frequency response relative distortion decided add third tier dbspl way see trend better trend seen bass area generating bulk distortion distortion grows exponentially level opposed linear revisit distortion context equalization later using log scale looking level see threshold dbspl exceeded mostly bass frequency edit forgot include impedance graph focal clear listening test equalizationin sense sin focal clear frequency response le severe headphone tested far naturally response across test track decent detail lacking brightness bothersome created fair amount lispiness female vocal example tested small magnitude correction soon gave seem worth effort instead went low hanging fruit basically bass boost reduction energy around khz center frequency lowering peak khz latter important get rid brightness improvement quite noticeable pleasant bass help balance rest response detail resolution improved khz filter noted final khz filter took care remaining brightness cost distortion audibly expected bass distortion shoot due low sensitivity distortion trade could detect sound simply became warmer nicer better reproduction deep note naturally gained distortion reduction dip filter around khz first second track sounded good bam headphone jumped gap resulting nasty static crackling sound kind sound stop heart beating second basically driver running travel going outside magnetic field jumping back suddenly hear routinely cheap bookshelf speaker driven high amplification deep bass could get happen even instrumental female vocal track granted boosted boosted much headphone handle ease focal clear still turned turned volume nasty click granted level pretty loud outside would listenable searching online see reference clear clipping suspect talking real flaw headphone conclusionsthe focal clear box response closer like see tonality bad equalization take performance significantly higher due poorly designed driver little headroom practical path unless keep volume low without le problem would face brightness lack clarity price better compromise recommend focal clear without equalization expect company like focal incredible vertical integration build driver always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/focal-clear-review-headphone.18585/,60.0
2,170.0,628aedde-68d5-44ed-88fb-8ccbdb1d8f45,Over Ear,HiFiMAN,HE400i 2020 Revision,,8/16/21,version popular hifiman open back planar magnetic headphone cost new revision bit serious looking matt finish comfortable headphone round cup inside dimension diameter depth weight average side note measurement see made using standardized gras headphone measurement definition approximate variable surprised measurement even performed fixture mine differ end result protocol vary headband pressure averaging see confirm approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker mostly bass kilohertz keep mind read test think exact idea headphone performance likely wrong fitment fixture somewhat variable spent quite bit time messing see best could get hifiman version measurementsas usual start headphone frequency response comparison preference curve enclosed graph original version difference around khz response bit higher whether measurement error variation unit hard say sure bass step messed ton step would away rest graph noisy unlike headphone measured even worse original think indication resonance throughout response relative frequency response purpose roughness response mismatch channel make challenging build distortion overall good see lot wiggle bump think indicate resonance group delay mess think indicates many sound source mixing creating fan timing response another graph seems like swinging cycle settling finally frequency response remains unchanged hifiman listening test equalizationthe overall sound without inoffensive let though see improve based older version found good revision spent time refining done sound good enjoyable conclusionstechnically fair number smaller flaw mismatch target noted though box response bad mostly missing energy much work hard develop perfect one given rough response headphone still managed get good response someone buying use without personally would recommend always question comment recommendation etc welcome finally took time plant flower year result great latest pick,https://www.audiosciencereview.com/forum/index.php?threads/hifiman-he400i-review-2020-revision-headphone.25845/,46.0
3,,76fdf09e-586f-4634-b9c8-e1cda88fae8c,Over Ear,Grado,Custom Grado Clone With Elleven Acoustica R1 Driver,17.0,7/18/21,custom grado headphone elleven acoustica driver kindly sent member know much cost driver gbp pair gorgeous cup made bruce wabi sabi headphone cherry mahogany woodworker find overall execution simply gorgeous going give usual physical stats custom product wearing left hear touching driver became uncomfortable minute otherwise quite light easy wear note measurement see made using standardized gras headphone measurement definition approximate variable surprised measurement even performed fixture mine differ end result protocol vary headband pressure averaging see confirm approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker mostly bass kilohertz keep mind read test think exact idea headphone performance likely wrong fitment fixture bit tricky given ear con uration lack measurement elsewhere confirm fit consistency channel surprisingly good ran grado elleven acoustica driver measurementsas usual let start headphone frequency response measurement spot problem sometimes easy clearly massive peak around khz belong followed dip addition bass droop common many headphone relative response equalization purpose distortion focused bass usually also unfortunately one around khz sadly need boost area dealing distortion graph red possibly green depending loud listen play low level response blue good group delay show common messiness likely due reflection back forth driver artificial ear measurement fixture impedance low variable surprised good efficiency iem class large driver close distance ear responsible indeed able drive reasonable level using iem output rme adi pro dac headphone amplifier headphone listening test equalizationinstant reaction sound wrong brought tool almost immediately first three filter dramatic effect completely transforming sound headphone balanced bass decent spatial quality none overboosted mid range high bit distorted way found headphone distortion profile lower treble added last filter yellow seem make lot improvement conclusionsnot sure use data guess sample data point eleven acoustica driver guess lesson going build custom headphone measurement essential trying guess peak around khz ear darn near impossible measurement equalization however build performant headphone pride ownership knowing built sorry misspelling acoustica cut paste string owner written catch always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/custom-grado-clone-with-elleven-acoustica-r1-driver-review.25048/,34.0
4,20.0,8f0d61c9-f3fa-4482-bec8-7eb51fe39389,In-Ear,Panasonic,RP-TCM125,35.0,4/24/21,panasonic tcm ear monitor purchased amazon cost including prime shipping picked used olive research yes folk getting measurement iems bunch come review constantly get offer test finally allocated bit time see gras fixture measure delight dead easy far headphone measured time tell however measure whether typical end also introductory thread iem measurement ahead say peace instead polluting future review thread one problem iems take picture apologize crappy nature one dual panther rating mean left right panasonic tcm measurementsgood bit work involved creating target iems different ear headphone tested note look frequency response graph synchronization point measurement preferred reference around usual puzzled response thinking something wrong seeing bass response well reference rest well fortunately mentioned non revision headphone part research harman associate graph headphone paper man get close iem indicated top graph show deviation compare mine darn close khz yes distortion low dbspl point note something around khz fact already plenty bass indeed turn excellent shape respect distortion outperforming many headphone speaker group delay almost perfect kink also show frequency response measurement found another iem measured may measurement artifact ignore impedance low headphone standard ohm fortunately phone portable headphone dongle deficient voltage much current able drive iem easily sensitivity get iems tested create bar graph dedicated panasonic tcm listening testsfor measurement used middle sized silicone tip came preinstalled fit perfectly measurement fixture ear though even though stayed put bass regard sound horrible since usually wear larger tip swapped larger size man prepared horrid sounded bass became overwhelming like heard rest spectrum almost got buried much like bass wrong many level came tool roon player use error large eyeballed pretty large correction transformation incredible listening type sound detailed clean incredible sub bass capability put smile face every track one high dynamic result startling track like game han zimmer wonder woman soundtrack stunning fidelity get fine tuning needed tame bit brightness exists post man satisfying wipe smile face yes spatial quality like get headphone bass tactile like speaker high fidelity bodes well overall correctness target response conclusionsso enter new chapter asr testing iems use mine hour bed watch youtube video bed essential component test review respect panasonic clearly tuned bass think sell maybe know people wear loose need extra punch result quite bad given deficiency apply equalization thing pretties like nobody business look forward testing iems stop impressed sound getting iem without want avoid headphone cost panasonic tcm easily land recommended list always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/panasonic-rp-tcm125-review-budget-iem.22797/,16.0
5,299.0,66358f40-648f-4fd1-8e91-230d91430f98,Over-Ear,Sivga,Phoenix,43.0,4/28/21,sivga phoenix open back headphone cost amazon including prime shipping must say one attractive looking headphone padding soft surface feel luxurious well reminds inside audi automobile absolutely love fact indicate channel designation large letter inside side headphone literally take minute two find darn designation headphone also fairly light gram cup round see diameter depth variable shallowest end lot ear poking may touch dust cover measurement see made using standardized gras searched measurement could find online ala number close mine none using exact fixture coupler pinna see confirmed approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker kilohertz keep mind read test getting good fit super easy channel matching two target first install sivgo phoenix measurementsthere nothing important frequency response headphone seemingly different difference leaf distinct character almost match target range shortfall higher frequency loss likely translate dull sounding headphone however enough bass sound light department relative chart may easier understand even though conveys information basic emphasis region relative distortion show see typical headphone bass also disturbance khz fortunately since good bit upper bass energy boosting see get group delay revealing impedance variable low mean typical portable device able drive especially since phoenix sensitive headphone measured far sivga phoenix listening testsfirst impression positive sound dull emphasis lower frequency pull parametric right away get correct quick dirty attempt fixing gross problem broad correction probably benefit mathematical correction manual one still improvement dramatic balanced sound better spatial imaging female vocal lost came front center conclusionsthe measured performance phoenix headphone show broad deviation preference target subjective listening test confirmed resulting strong amount outcome positive super exciting like look feel sivga phoenix overall performance good enough recommend highly recommend using equalization get better fidelity always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/sivga-phoenix-review-headphone.22893/,57.0
6,200.0,a5b07448-ed8a-4893-a022-0c76b0f8ffde,Over-Ear,Drop & Meze,99 Noir,47.0,5/5/21,massdrop meze noir closed back headphone cost understand identical meze classic company sell lot money noir quirky look unique comfortable dual mono removable plug provided fit tightly long narrow need replace get something noir pretty light headphone gram inside cup dimension measurement see made using standardized gras searched measurement could find online ala number close mine none using exact fixture coupler pinna see confirmed approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker kilohertz keep mind read test getting good fit easy channel matching two target first install massdrop meze noir measurementsthere nothing important frequency response headphone seemingly different difference leaf distinct character wow bass mind lot sub bass clearly way much also hole khz owner also sent set brainwavz micro suede ear pad much difficulty getting two channel match fact discovered one pad mounted tight assuming run run variation two issue identified stock pad much le severe back original pad relative frequency response distortion bass considering taking noir may good response wish disturbance around khz though also exceeds target absolute term group delay show naughtiness bass impedance flat low surprised spec ohm lazy remeasure wonder someone know change driver one sensitive headphone requiring iem like power play massdrop meze noir headphone listening testsi always start female audio track first track much bass little got warmer mind high hand sounded bit tizzy jumped couple track one bass boy definitely way much came parametric tool yes lot filter transformation dramatic though bass far balanced overall spatial quality improved hugely gone recessed vocal open pleasant soundstage left deep bass uncompensated brought delight ear listened track content think much sub bass book sat enjoying track track library matter fact listening type conclusionsthere question box meze noir hugely flawed headphone objectively subjectively annoying though long bass distort add half dozen filter eye get enjoyable experience like taking student bringing combine light weight overall comfort something good headphone recommend massdrop meze noir without happy headphone using fix flaw missing big time assuming measurement correct want use least get replacement pad see fix thing bit always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/massdrop-x-meze-99-noir-review-headphone.23116/,18.0
7,349.0,0f55051d-2809-43c7-bc4d-9de74a9c1e43,Over-Ear,Verum Audio,Verum 1,54.0,3/6/22,verum audio verum one headphone kindly ordered drop shipped cost verum one person diy originated design company controversy around owner read please comment thread company located ukraine sadly custom look belies low cost headphone large somehow seem heavy despite weight note measurement see made using standardized gras headphone measurement definition approximate variable surprised measurement even performed fixture mine differ end result protocol vary headband pressure averaging see confirm approximate accuracy measurement using equalization listening test ultimately headphone measurement le exact speaker mostly bass kilohertz keep mind read test think exact idea headphone performance likely wrong fitment measurement fixture easy verum audio verum measurementslet start usual frequency response measurement impressed exact channel matching compliance good reasonable range audio band bass case many headphone rise preference target also shortfall energy khz relative term look like almost distortion dbspl across full frequency band get narrow spike mid frequency tend suggest resonance see correlation group delay distortion absolute level impedance flat exceptionally low fortunately counteracted high sensitivity verum one listening test equalizationout box response good nothing would bothersome female vocal found acceptable lot bass track usual though like use get close target spatial quality naturally bass response improved detail excellent overall experience enjoyable tried tease mid frequency distortion could bass response strong high volume feared ear rme adi dac trouble pushing headphone even conclusionsi fathom single person could design manufacture headphone yet sell response box good enough could use ability performance rise quite high level putting smile face going recommend verum one headphone without strongly always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/verum-audio-verum-1-review-headphone.31461/,6.0
8,250.0,9b207942-30ca-4949-b9b1-0dd7cd01e0ce,Over-Ear,NAD,Viso HP50,55.0,1/5/21,nad headphone drop shipped nad still list headphone seem available retailer instead sold ebay think new going ebay seller certified refurbished normally apparently frequently sale member paid packaging headphone look brand new must clearance stock like modern look headphone notice two cup hanging differently headband symmetrical combined rather small cup made getting consistent result two channel impossible also expand headband become rather square giving frankenstein look monitor reflective good interesting twist headphone appreciated plug diminutive cord either headphone socket cord ultra light short guess made portable use managed pull amplifier moved around fortunately replace longer cord nad viso measurementsi surprised see frequency response big shortfall upper midrange treble region testing countless speaker deficiency area tell take fun sparkle music judging bass response crapshoot due highly challenging fit gras artificial ear slightest movement would make response vary ton due headband expanding asymmetrically could get cup fit properly time low high frequency sample fit need use judgement equalization going deviation preference target curve see variation quite large sense bickering preference curve matter look headphone sucked response region peaking around khz narrow since test fixture emphasizes region think may merit bit correction distortion low bass general get thing loud interesting observe narrow peak absolute term using dbspl reference distortion comfortably threshold dbspl group delay somewhat instructive showing discontinuity frequency response variation otherwise give license equalize response see fit especially khz region sharp spiked would tell otherwise impedance le flat look headphone measurement look performance relative ohm load use testing close match sensitivity excellent meaning need little power nad headphone listening testsout box nothing offensive sound could told frequency response much exceeds target response distortion quite low second adjustment notice closed bass heavy sound let waste time apply judicious correction based frequency response filter make substantial improvement exception khz one could leave wanted wow transformation thing take equalization like duck take water beautiful bass midrange treble squeakily clean huge bonus spatial quality improve substantially since lot stereo cue khz boosted quote like get paid think headphone angled driver equalization must behind open oval sphere head side panned instrument position left right mono vocal take front top center stage sennheiser category talking flavor tell post equalization want stop listening matter fact next day listening typing review word comfort seems loosened bit today become comfortable yesterday would rate comfort take glass since headphone relies rather strong clamp pressure stay head headband stay proud even lowest extension cup personally sure could use day continue loosen sound isolation good good larger closed headphone conclusionswhat hidden jewel post equalization sale price steal relative smooth low distortion quality sound provides comfortable large cup higher end headphone may high efficiency also able drive many portable device said recommend nad without however give strong recommendation especially considering price heck would even take price equalization always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/nad-viso-hp50-review-headphone.19121/,39.0
9,230.0,b7357490-8bb0-43cf-a137-36c74f9e6fd8,Over-Ear,PSB,M4U 1,59.0,3/16/21,psb headphone currently discontinued seems come back costing time kind specific sample received suffered significant wear anything wear look better picture person included cable four pin includes microphone overall comfort good note measurement see preformed using standardized gras headphone measurement fixture headphone measurement require interpretation speaker test requirement subjective testing result addition comparison measurement different people performing using different con urations requires fair bit skill look matching result focus high level picture listening test performed using rme adi dac headphone output mounting headphone test fixture challenging resulting quite lot variation channel overall response optimized best could like error low frequency psb measurementslet start frequency response comparison preference target ure tonality headphone looked measurement others found couple showed much elevated bass got verify right listening test taken bass obviously deficient critical range khz strong influence spatial quality presentation female vocal expect sound rather dull uninteresting also annoying due high controlled distortion remarkably low high end headphone ton distortion take note low distortion give freedom boost hole frequency response without fear negative consequence front group delay show messiness khz also saw frequency response always massive spike high frequency indicates reflection inside cup sign frequency response error tempted narrowband correction impedance flat also low current delivery matter one efficient headphone able use source pb headphone listening teststhe sound exactly like measure nothing annoying exciting either pulled parametric roon player dialed sub bass fit like glove added quick filter khz job basically done son listen voted thumb front fact sound boomy bass heavy post wanted listening ala roon folk broke tidal integration causing fraction test clip available testing based hear sound quite good boost khz opened soundstage detail instrument layering boost bass good although quite substantial could stand accepting based taste conclusionsthe clear response error fortunately correctable using due low distortion good result result problem headphone seems age poorly sure getting used one anyway data make decision since psb discontinued item without performance jump recommend always question comment recommendation etc welcome,https://www.audiosciencereview.com/forum/index.php?threads/psb-m4u-1-review-headphone.21399/,37.0
