uuid,Name,Sensitivity,Sensitivity2,Impedance,acoustic_design,type
488a854e-723d-4b0a-98ad-e47e862c310a,1MORE E1010 Quad Driver,124.97,109.74,29.98,Closed,iem
9be95a3b-1184-4e6b-a614-5d007a1bb5e8,1MORE Stylish Dual-Dynamic In-Ear E1025,122.88,107.78,30.88,Closed,iem
a0e8e6cc-1d11-45ad-b150-975d9545c69d,64 Audio N8 m15 apex Module,130.49,107.61,5.15,Closed,iem
7f67ad3b-8edc-4335-85df-5053154782fb,64 Audio N8 m20 apex Module,130.48,107.6,5.15,Closed,iem
88899f49-cc2f-4242-b5b1-848134f423b2,64 Audio tia Fourte,133.42,112.64,8.36,Closed,iem
0ec8e7ba-6ff8-4397-8672-84b98ac9d9d3,64 Audio tia Fourte Noir,134.65,113.89,8.38,Closed,iem
eab1bfb0-000e-4d35-831b-791b16e0379f,64 Audio tia Trio,131.53,108.59,5.08,Closed,iem
db2da107-cd78-48f9-9bfc-b1be1e26657d,64 Audio U12t m15 apex Module,131.11,111.89,11.98,Closed,iem
375c04bd-a697-4b87-b8d5-be951fa2e306,64 Audio U12t m20 apex Module,131.27,112.06,11.98,Closed,iem
317f674b-7ccc-4d53-a05b-7f82b644f42b,64 Audio U18t m15 apex Module,134.59,114.38,9.53,Closed,iem
4e0e66a2-0296-411f-9242-b4a933a59397,64 Audio U18t m20 apex Module,134.88,114.67,9.53,Closed,iem
ad8b08c6-de7b-46ca-838b-56c706f85297,64 Audio U4 Default,137.58,117.97,10.92,Closed,iem
e1a4a1cc-86e1-456c-88cf-93eef5e74dba,64 Audio U4 Hi,113.29,93.67,10.92,Closed,iem
7d7e72cf-5be3-4c1e-a50a-3ab2dc1622ad,64 Audio U4 Low,119.41,99.79,10.92,Closed,iem
b11b85e1-7e0a-4774-a976-a83cdd9b6065,64 Audio U4 Mid,134.35,114.73,10.92,Closed,iem
17daac59-11de-4dcd-9a78-bb50a09c5381,64 Audio U4 Vent Open,134.15,114.53,10.92,Closed,iem
89261710-711d-4fd0-835f-ec768fa0f884,64 Audio U4 Vent Outside Sealed,137.37,117.75,10.92,Closed,iem
d6c818a8-b85e-4f75-9f1b-251f06322ad3,64 Audio U4 Vent Sealed,137.98,118.37,10.92,Closed,iem
f948bbd3-c179-426c-9b29-35c249db03d0,64 Audio U6t,133.05,113.76,11.76,Closed,iem
fbcb5ee0-a8e0-4c62-8e58-eab220cb7f27,64 Audio U8,135.01,118.55,22.6,Closed,iem
bedaa389-5a9c-41b5-a0ef-5363a4d7e292,7Hertz Timeless,125.79,107.64,15.33,Closed,iem
dc98f736-03c6-4fe2-a697-856549ecde6b,7Hertz Timeless Mod,124.06,105.79,14.89,Closed,iem
8f258315-a16e-46ca-91eb-b55e34bc2e38,AAW A1D,128.22,109.91,14.78,Closed,iem
b58a4905-ebf5-40e4-a993-0d98251315c4,AAW A2H,130.34,109.9,9.04,Closed,iem
e14d61bd-92d9-4c18-aa62-1563a9e4c716,AAW A3H,125.84,107.6,15.02,Closed,iem
b8e9f746-8ab5-49d8-8c5d-b4bbdfeb1e74,AAW A3H +,130.16,110.0,9.64,Closed,iem
5aa93091-02ec-4737-a0ef-54605d820c52,AAW ACH Сeramic,129.8,111.68,15.43,Closed,iem
df96f499-faf4-46b8-b6ee-feb1fb867ee5,AAW ASH,134.03,116.83,19.06,Closed,iem
3e3cd021-562f-44f6-aeca-e9a90c175b44,AAW Canary,127.74,106.19,7.0,Closed,iem
1606a8f8-cb8a-4d10-9af3-be113e553f3e,AAW Halcyon Bass,124.43,107.39,19.76,Closed,iem
ee9c3273-838c-48c6-bbc2-d6cb69c6cca2,AAW Halcyon Normal,123.83,106.79,19.76,Closed,iem
8fb862b6-a8f0-4855-bbe4-35f6c2150612,AAW Mockingbird,130.18,111.04,12.19,Closed,iem
25b89ba7-0a47-411b-9ee8-f16caba00c6f,AAW Nebula ONE,132.31,114.67,17.21,Closed,iem
a8da5b75-ad01-4a37-9205-9c8e6ac52dc4,AAW Nightingale Planar Magnetic,121.5,105.17,23.29,Semi-open,iem
bcedecd1-cc00-4b80-aafd-007e01a83481,AAW Project 4+2 Bass,132.13,109.48,5.43,Closed,iem
8fd9fb8e-fca6-44c3-81ed-0c3676f0b44f,AAW Project 4+2 Norm,131.79,109.14,5.43,Closed,iem
714a7288-e84f-4a45-9352-30d43283f30b,AAW Project 4+2 Vocal,131.03,108.38,5.43,Closed,iem
6b3e2645-3591-4a7a-9b5d-aed3a23b1e11,AAW Q,128.95,111.52,18.04,Closed,iem
25a936b8-4a86-4f8c-8826-66d2b63d1ec4,AAW W300,131.86,112.94,12.83,Closed,iem
01377f8d-1856-4fab-9b6d-f67c3cfd4178,Abyss AB-1266 PHI TC,95.76,83.07,53.86,Open,full
88714b0f-471b-4992-95fa-f42d5e237dd2,Abyss AB1266,96.94,83.48,45.08,Open,full
9d0e42a0-db50-444d-8bd0-fbc1da9ac21c,ACS Emotion,139.92,125.14,33.26,Closed,iem
5acf766e-c268-4d9f-849c-0baf4ba4fc14,ACS Evoke,130.08,118.56,70.47,Closed,iem
804fb94d-2762-44e3-b0ad-124508f68557,ACS Evolve,136.52,123.46,49.43,Closed,iem
c91be847-3423-4878-b9bd-b22bb6f5936a,ADL EH008,126.02,108.93,19.53,Closed,iem
d15494ea-0286-485f-804c-8ebdaa6d96a4,ADL H128,116.37,105.04,73.52,Closed,full
23870a4f-cef7-4e82-ac6e-fbab2e788321,ADVANCED M4,121.97,104.44,17.68,Closed,iem
ca5c4733-452a-4ffc-85ba-9fcb78603bae,AKG GHS1,116.51,102.34,38.25,Closed,full
680becf2-1112-4bb9-ba5a-7a442fb40d03,AKG K 1000 0 degress,90.51,82.43,155.71,Open,full
b9b1d4ba-a1d9-414b-825e-d0766fa6a730,AKG K 120,90.46,88.34,613.24,Closed,full
064687fa-7bb5-47c7-a9fa-9a4e52406234,AKG K 140,98.47,96.09,576.98,Open,earpad
a8f2b1a4-2f20-460b-96f6-0764a6238776,AKG K 141,99.81,97.94,650.7,Semi-open,earpad
a25f2c41-f98d-4aa8-b1cd-40da43bf3ae0,AKG K 172 HD,95.24,84.01,75.29,Closed,full
e4b0e5d9-7a7f-45b2-9306-9c482bf28a85,AKG K 181 DJ Off,102.47,88.71,42.09,Closed,full
1eeb7e4e-5bf2-46c2-8864-1d94fbe1e99b,AKG K 181 DJ On,102.45,88.69,42.09,Closed,full
1adfc852-0ebe-43d1-9ef4-938ab760d47c,AKG K 240 MK2,105.54,94.82,84.75,Semi-open,full
f8c24bda-349b-4e39-8568-7f31bffd86b8,AKG K 240 Studio,109.2,98.13,78.32,Open,full
bbc65ff6-31f5-4f06-903f-59dc45f172fe,AKG K 242 HD,106.42,95.37,78.53,Open,full
c72309e7-c9dc-4b0c-accd-be9eeba13740,AKG K 271 MK II Fabric cushions,108.89,97.82,78.3,Closed,full
6685a4ea-22cf-40eb-afbd-52d91d06a7f0,AKG K 271 MK II Leather cushions,106.63,95.57,78.3,Closed,full
9fe86d5f-668a-44da-b5c4-e7a8aba065ae,AKG K 272 HD,94.47,83.18,74.33,Closed,full
66614e95-2494-457b-8821-5a0148ad0322,AKG K 3003,126.34,106.74,10.96,Closed,iem
7ec0caa1-9a27-4fb1-be7b-5d6490715a50,AKG K 340 ED,95.66,91.68,399.64,Closed,full
645a45df-0a8a-4d38-9a80-6b99a0beef0b,AKG K 361-BT 371 Mod,120.32,105.87,35.95,Closed,full
480cfc06-c99f-4496-8222-54c38d302b13,AKG K 375,123.87,108.63,29.94,Closed,iem
fbd9b3b7-40a7-40ec-bb71-81413d745220,AKG K 403,113.1,98.55,35.14,Open,earpad
4b358095-e1e9-46ce-9d84-0b5425bd933f,AKG K 420,119.13,104.96,38.24,Open,earpad
50871424-09f2-4c6c-8b98-d9fd81b0ab94,AKG K 430,119.81,105.11,33.87,Closed,earpad
1f541207-129b-4e81-a313-f2cc2a96a145,AKG K 450,125.11,110.43,33.98,Closed,earpad
0394e815-fa72-48ae-95c9-98f3c9078be2,AKG K 512,107.37,93.05,36.92,Closed,earpad
bb1c42db-c623-428c-a523-ce20805fe8f0,AKG K 512 mk2,107.0,92.54,35.81,Closed,full
732b845b-44ef-41c9-bb99-8125a30da3b0,AKG K 514,116.9,102.24,34.26,Open,earpad
d265c6be-2019-41b8-b53b-fa6bb2c05060,AKG K 518 DJ,113.97,99.37,34.66,Closed,earpad
cb156717-53c9-4d5b-889d-91752dfdf33a,AKG K 52,113.93,99.16,33.36,Closed,full
013102d0-f8e4-44de-8cbe-9453825fb3fd,AKG K 520,118.57,104.45,38.73,Semi-open,earpad
d527c4e4-2ce9-496c-9840-07be3fe12d17,AKG K 530,107.4,96.36,78.71,Semi-open,full
731ed073-91cf-460a-8df2-390de0779828,AKG K 540,113.78,99.57,37.89,Semi-open,full
15c6f89d-792f-4a03-aa47-0f4cf1f94967,AKG K 550,109.25,94.78,35.71,Closed,full
1eec891a-0e5c-4c60-a928-736303577fde,AKG K 550 MKII,117.86,103.17,33.98,Closed,full
7a6d25b7-9875-4ff0-b247-cd0dd8ccf7b6,AKG K 601,100.72,92.22,141.44,Open,full
90b42415-fda1-4dde-b9a4-4508ea6c1ec8,AKG K 612 Pro,100.98,92.33,136.43,Open,full
a4526cfa-78f8-4758-b52d-634c3460afb2,AKG K 701,102.44,90.64,66.11,Open,full
af52394b-abf6-49de-b0eb-ab37f0d8763d,AKG K 702,103.61,91.65,63.64,Open,full
55492813-c3ea-496f-b32c-1d779046e7b5,AKG K 712 Pro,106.42,94.49,64.15,Open,full
a69ba47a-6006-4d50-9f56-3f017c77569a,AKG K 72,115.87,101.02,32.77,Closed,full
410ef48e-8a98-456c-a939-6b66b553c6fb,AKG K 77 PRO,105.26,90.53,33.61,Closed,earpad
50ae9e76-2cb6-4cc3-bce4-f845499deff2,AKG K 80,103.65,96.87,209.57,Open,earpad
b67fa121-8bdb-4730-a50e-401eaa18bc1d,AKG K 92,116.33,101.48,32.73,Closed,full
5f5d2b0d-4e64-436e-b767-cec640cb92f0,AKG K 99 PRO,104.13,89.51,34.55,Semi-open,full
ed924eaf-4795-4ce1-b2a6-0a93aa437117,AKG K1000 30 degress,86.73,78.65,155.71,Open,full
b23c16f3-a2cc-464e-bc15-d994a8219d7e,AKG K545,117.19,102.63,34.99,Closed,full
3e910522-16e0-494a-b021-efe4ca6fb5ee,AKG K66,114.08,99.79,37.29,Open,full
0fc65789-fd93-4b46-be7b-ded2d2115794,AKG K812 PRO,109.54,96.07,44.94,Open,full
be7c0f20-8efa-4c73-a569-2f20da8ef5a5,AKG N 20,123.0,106.97,24.95,Closed,iem
d0a16edc-1145-472f-a6fc-faadc1c57ff6,AKG N 30 Bass Boost,124.74,109.65,31.0,Closed,iem
d120f371-307f-4044-9efc-638aefb92bbb,AKG N 30 Reference Sound,125.59,110.51,31.0,Closed,iem
6ccaa390-f0c5-46d0-a783-03cf9afe590e,AKG N 40 Bass Boost,122.68,105.89,20.92,Closed,iem
505d32b5-86ca-454b-8902-b591922fa0ee,AKG N 40 High Boost,124.63,107.84,20.92,Closed,iem
4e4165ef-33cf-469a-bdc8-25efd8f55536,AKG N 40 Reference Sound,123.7,106.9,20.92,Closed,iem
49e52744-eb47-4be4-90a6-d115172fc137,AKG Q 460,124.89,110.47,36.16,Closed,earpad
d54d2ff5-b70c-42d1-aa1b-cdb8c5fb5d49,AKG Q 701,103.79,91.78,63.09,Open,full
c5956b83-2a04-4069-86a2-34510dde8b75,AKG Y 20,114.65,100.54,38.82,Closed,iem
f2ed7953-dc90-4986-b05e-6aca45f8f446,AKG Y 30,118.34,103.86,35.62,Closed,earpad
266fb103-eea1-4c2d-a181-6c6284d44436,AKG Y 50,114.61,100.27,36.86,Closed,earpad
5821d463-ab08-407d-ad5a-93c6aabc5b8c,Aleks Headphones Live Sound,117.89,106.55,73.45,Closed,full
95d73059-893f-4762-9efb-3dfd63e19fce,Alessandro Music Music Series One,114.34,99.68,34.2,Open,earpad
e75a7d6f-e634-404a-a224-29a8334e2c62,Alessandro Music Music Series Two,109.8,95.23,34.98,Open,earpad
46f7c08c-9ef1-4a3a-b8e9-1b42b0ce4b69,Allen & Heath XD-53,117.86,103.56,37.19,Closed,full
1dfa0d3b-0f6b-46d6-9aae-158fb7a0330a,Ambient Acoustics AM10 Universal,134.89,113.42,7.13,Closed,iem
383bc4b2-9b59-475c-809c-d401f54f07bb,Ambient Acoustics AM5LE Universal,133.48,120.28,47.87,Closed,iem
82f9073c-907c-4afa-8ea7-1983640c191c,Ambient Acoustics MAD10 Universal,132.17,111.05,7.72,Closed,iem
61f35d16-e65d-466e-a71f-ee1fabad407b,Ambient Acoustics MAD16 Universal,138.48,117.03,7.16,Closed,iem
fef4a62a-d400-4ccf-8256-e26a18bda205,Ambient Acoustics MAD2 Universal,132.98,113.44,11.12,Closed,iem
643caa5b-fa5b-4758-97ea-9552b8b16fd9,Ambient Acoustics MAD24 Universal,135.81,114.14,6.81,Closed,iem
bb14a44e-8818-4065-b70d-86271b331aea,Ambient Acoustics MAD3H Universal,132.84,113.16,10.77,Closed,iem
3709ff2d-556d-4799-ac01-9b1e29defde1,Ambient Acoustics MAD4 Universal,133.93,114.51,11.43,Closed,iem
6492b114-d93f-4693-8198-014b95c4ace5,Ambient Acoustics MAD6 Universal,131.91,111.54,9.19,Closed,iem
eee0bf4f-46b2-43f8-8d3e-ac5e90276411,Amphiton TDS 15,110.28,92.45,16.47,Open,earpad
ec13a317-f56f-4f83-89dd-14249d628c49,Amphiton TDS 7,101.16,80.7,8.99,Closed,earpad
14d6d3b1-8286-4d16-bada-1c7897540d6f,Amphiton TDS 7 Snorry Mod,111.1,90.4,8.51,Closed,full
fd22eb35-22a6-4632-84dd-5e2744959ef9,Anew U1,132.86,118.35,35.4,Closed,iem
d47f2879-f6db-4b8b-81a0-a597db268ce2,Anew X-One Black,130.75,112.51,15.01,Closed,iem
a6687176-10a2-4e51-aa4c-750518ff3a5f,Anew X-One Blue,130.45,112.1,14.63,Closed,iem
