uuid,Name,"Max Voltage, dBV","Max Current, dB(mA)","Impedance , ohm"
13bb8128-b3f6-4a76-add0-3a7a32fdba0a,Astell&Kern A&norma SR15 Balanced Out,11.79,20.7,1.51
4e92076d-1235-4096-a898-6c4793bcb29b,Astell&Kern A&norma SR15 Single-ended Out,5.77,22.63,0.78
d83c9fa0-10ba-4296-98e1-f40385823f4a,Astell&Kern AK240 Balanced Out,7.34,9.82,6.41
222a1eb1-cf43-4427-a62d-4fecf1797a67,Astell&Kern AK240 Single-ended Out,6.48,17.65,3.42
f5bd60f5-7132-4648-9d8b-8a70db5bdb1c,Astell&Kern AK300 Balanced Out,5.73,11.88,6.19
28a36993-9338-4619-a972-8bd8609475f9,Astell&Kern AK300 Single-ended Out,5.75,17.43,1.86
4f665399-8c80-4713-998b-f6024d3434ba,Astell&Kern AK320 Balanced Out,6.76,8.81,6.37
3c07fc05-425a-453d-961f-744b508f335e,Astell&Kern AK320 Single-ended Out,6.73,17.86,2.02
525db19e-ada9-47cd-8194-0a31003cc5b0,Astell&Kern AK380 AMP Hi Gain Balanced Out,15.74,21.38,1.51
92248f95-f90f-471c-99ff-2b973d57ad0d,Astell&Kern AK380 AMP Hi Gain Single-ended Out,9.76,22.68,0.65
3de07ffe-4cb7-44cb-95a6-706c4ef79475,Astell&Kern AK380 AMP Norm Gain Balanced Out,5.35,19.2,2.11
063bcd7b-ecf8-4cc8-8df1-9acfc4f08d8f,Astell&Kern AK380 AMP Norm Gain Single-ended Out,5.3,22.31,0.65
f89569e7-ed17-4f5d-bb69-ff979accfec9,Astell&Kern AK70 Balanced Out,6.91,16.42,9.86
210a5de9-0d13-4d78-99d9-cb52f308aabc,Astell&Kern AK70 Single-ended Out,6.88,19.19,3.4
f4b426fa-066c-46ba-8d89-fa9da20b98dd,Astell&Kern KANN Balanced Out,14.89,23.47,1.67
32691c99-11e1-48b1-bf70-43885847e67c,Astell&Kern Kann Cube Hi Gain Balanced Out,15.16,18.99,2.31
9d4fa4db-8586-4aa5-b7d9-70de62652a2d,Astell&Kern Kann Cube Hi Gain Single-ended Out,11.61,25.62,1.04
61d33252-760b-4155-a331-8b606f4e3ad8,Astell&Kern Kann Cube Low Gain Balanced Out,11.72,19.8,2.36
975f1018-ee4b-4235-9074-d0af00dba58f,Astell&Kern Kann Cube Low Gain Single-ended Out,6.1,20.1,1.05
ee9d4c04-4c02-489b-90b5-48ba1ab44dfd,Astell&Kern Kann Cube Mid Gain Balanced Out,17.66,19.72,2.31
ef14833c-a6d4-4b0c-9e29-97c9a3a3e490,Astell&Kern Kann Cube Mid Gain Single-ended Out,11.08,21.58,1.04
bfe4ed4f-0c61-46e5-85af-435cfb2d1169,Astell&Kern KANN Single-ended Out,8.91,22.22,0.61
ae47eb1f-c8d5-4118-a496-79d4c94d0597,Audinst HUD-DX1 Hi Gain (Default Power),14.3,39.25,1.99
10f0d905-e300-4152-89bb-444473c1bea6,Audinst HUD-DX1 Hi Gain (Robitron Power 12V 0.8A),14.3,31.84,1.99
